date,title,creator,original_url,original_status,original_video_title,original_channel,original_duration_seconds,original_youtube_status,original_error,original_checked_at,final_url,final_status,final_video_title,final_channel,final_duration_seconds,final_checked_at,replaced,selection_reason,original_independent_recheck_error,replacement_independent_recheck,replacement_independent_checked_at
02-29,"Suite Bergamasque, L 75, including 'Clair de lune'",Debussy,https://www.youtube.com/watch?v=fZrm9h3JRGs,playable,"Lang Lang – Debussy: Suite bergamasque, L.75: III. Clair de lune",Deutsche Grammophon - DG,406,OK,,2026-09-23T05:28:24+00:00,https://www.youtube.com/watch?v=fZrm9h3JRGs,playable,"Lang Lang – Debussy: Suite bergamasque, L.75: III. Clair de lune",Deutsche Grammophon - DG,406,2026-09-23T05:28:24+00:00,False,,,,
03-01,"Piano Concerto #2 in G, Sz. 95, BB 101",Bartók,https://www.youtube.com/watch?v=EIDRAQVcbr8,playable,"Bartók - Piano Concerto No. 2 in G major, Sz 95, BB. 101",Classical Music11,1742,OK,,2026-09-23T05:28:25+00:00,https://www.youtube.com/watch?v=EIDRAQVcbr8,playable,"Bartók - Piano Concerto No. 2 in G major, Sz 95, BB. 101",Classical Music11,1742,2026-09-23T05:28:25+00:00,False,,,,
03-02,Spem in alium,Tallis,https://www.youtube.com/watch?v=iT-ZAAi4UQQ,playable,Spem In Alium (Thomas Tallis) - Tallis Scholars,Choral Music,580,OK,,2026-09-23T05:28:26+00:00,https://www.youtube.com/watch?v=iT-ZAAi4UQQ,playable,Spem In Alium (Thomas Tallis) - Tallis Scholars,Choral Music,580,2026-09-23T05:28:26+00:00,False,,,,
03-03,"Symphony #4 in E-flat ""Romantic"", WAB 104",Bruckner,https://www.youtube.com/watch?v=-MiYzU8HQZQ,playable,"Anton Bruckner - Symphony No. 4 in E flat (""Romantic""), WAB 104 [Haitink]",Bartje Bartmans,3843,OK,,2026-09-23T05:28:27+00:00,https://www.youtube.com/watch?v=-MiYzU8HQZQ,playable,"Anton Bruckner - Symphony No. 4 in E flat (""Romantic""), WAB 104 [Haitink]",Bartje Bartmans,3843,2026-09-23T05:28:27+00:00,False,,,,
03-04,Messe de Nostre Dame,Machaut,https://www.youtube.com/watch?v=11A4wqv8_wo,playable,"Machaut - Messe de Notre Dame (abbaye de Thoronet, Ens. G. Binchois, dir. D. Vellard).avi",Caballerito de Arratia,3826,OK,,2026-09-23T05:28:29+00:00,https://www.youtube.com/watch?v=11A4wqv8_wo,playable,"Machaut - Messe de Notre Dame (abbaye de Thoronet, Ens. G. Binchois, dir. D. Vellard).avi",Caballerito de Arratia,3826,2026-09-23T05:28:29+00:00,False,,,,
03-05,"Piano Trio #7 in B-flat, op. 97 ""Archduke""",Beethoven,https://www.youtube.com/watch?v=IWIrioMelNc,playable,"Piano Trio No. 7 in B-Flat Major, Op. 97, ""Archduke"": I. Allegro moderato",Itzhak Perlman - Topic,751,OK,,2026-09-23T05:28:30+00:00,https://www.youtube.com/watch?v=IWIrioMelNc,playable,"Piano Trio No. 7 in B-Flat Major, Op. 97, ""Archduke"": I. Allegro moderato",Itzhak Perlman - Topic,751,2026-09-23T05:28:30+00:00,False,,,,
03-06,"Musikalisches Opfer (A Musical Offering), BWV 1079",Bach,https://www.youtube.com/watch?v=fjxKy3pP41w,playable,Bach - Ricercar a 6 from The Musical Offering BWV 1079 | Netherlands Bach Society,Netherlands Bach Society,487,OK,,2026-09-23T05:28:31+00:00,https://www.youtube.com/watch?v=fjxKy3pP41w,playable,Bach - Ricercar a 6 from The Musical Offering BWV 1079 | Netherlands Bach Society,Netherlands Bach Society,487,2026-09-23T05:28:31+00:00,False,,,,
03-07,"Piano Concerto #2 in G minor, op. 16",Prokofiev,https://www.youtube.com/watch?v=xcte8hM6kYA,playable,"Prokofiev Piano Concerto No. 2 in g minor, Op. 16 (Gutiérrez)",Prok Prok,1869,OK,,2026-09-23T05:28:32+00:00,https://www.youtube.com/watch?v=xcte8hM6kYA,playable,"Prokofiev Piano Concerto No. 2 in g minor, Op. 16 (Gutiérrez)",Prok Prok,1869,2026-09-23T05:28:32+00:00,False,,,,
03-08,"Images pour orchestre, L 122",Debussy,https://www.youtube.com/watch?v=jp-C3Lbgo5M,playable,Debussy : Images pour orchestre (Orchestre national de France / Emmanuel Krivine),France Musique concerts,2430,OK,,2026-09-23T05:28:33+00:00,https://www.youtube.com/watch?v=jp-C3Lbgo5M,playable,Debussy : Images pour orchestre (Orchestre national de France / Emmanuel Krivine),France Musique concerts,2430,2026-09-23T05:28:33+00:00,False,,,,
03-09,Don Giovanni,Mozart,https://www.youtube.com/watch?v=aL2VdxseTvE,playable,Mozart - Don Giovanni - complete (English Subtitles) - HD,Pluterro,10462,OK,,2026-09-23T05:28:35+00:00,https://www.youtube.com/watch?v=aL2VdxseTvE,playable,Mozart - Don Giovanni - complete (English Subtitles) - HD,Pluterro,10462,2026-09-23T05:28:35+00:00,False,,,,
03-10,"Cantata #147 ""Herz und Mund und Tat und Leben""",Bach,https://www.youtube.com/watch?v=h97JE4--p84,playable,Bach - Cantata Herz und Mund und Tat und Leben BWV 147 - Creed | Netherlands Bach Society,Netherlands Bach Society,1818,OK,,2026-09-23T05:28:36+00:00,https://www.youtube.com/watch?v=h97JE4--p84,playable,Bach - Cantata Herz und Mund und Tat und Leben BWV 147 - Creed | Netherlands Bach Society,Netherlands Bach Society,1818,2026-09-23T05:28:36+00:00,False,,,,
03-11,"Piano Quartet #1 in G minor, op. 25",Brahms,https://www.youtube.com/watch?v=42lro9rDSQQ,playable,"Johannes Brahms - Piano Quartet No. 1 in G minor, Op. 25 (complete)",VideoClassica,2306,OK,,2026-09-23T05:28:37+00:00,https://www.youtube.com/watch?v=42lro9rDSQQ,playable,"Johannes Brahms - Piano Quartet No. 1 in G minor, Op. 25 (complete)",VideoClassica,2306,2026-09-23T05:28:37+00:00,False,,,,
03-12,Symphony #4 in G,Mahler,https://www.youtube.com/watch?v=YnfhInZLmUQ,playable,Mahler - Symphony No 4 - Abbado,Classical Vault 1,3458,OK,,2026-09-23T05:28:38+00:00,https://www.youtube.com/watch?v=YnfhInZLmUQ,playable,Mahler - Symphony No 4 - Abbado,Classical Vault 1,3458,2026-09-23T05:28:38+00:00,False,,,,
03-13,Tenebrae Responsories,Gesualdo,https://www.youtube.com/watch?v=E-gP1Cb4S_o,playable,Carlo Gesualdo - from Tenebrae Responsories (1611),Bartje Bartmans,723,OK,,2026-09-23T05:28:39+00:00,https://www.youtube.com/watch?v=E-gP1Cb4S_o,playable,Carlo Gesualdo - from Tenebrae Responsories (1611),Bartje Bartmans,723,2026-09-23T05:28:39+00:00,False,,,,
03-14,"String Quartet #15 in A minor, op. 132",Beethoven,https://www.youtube.com/watch?v=IMIoGw0nKE4,playable,Beethoven String Quartet No 15 Op 132 in A minor Alban Berg Quartet,Natalia Karatjeva,2740,OK,,2026-09-23T05:28:41+00:00,https://www.youtube.com/watch?v=IMIoGw0nKE4,playable,Beethoven String Quartet No 15 Op 132 in A minor Alban Berg Quartet,Natalia Karatjeva,2740,2026-09-23T05:28:41+00:00,False,,,,
03-15,"Madrigals, Book 8: Madrigali guerrieri, et amorosi",Monteverdi,https://www.youtube.com/watch?v=BNhfMVmRAhk,playable,"Madrigals, Book 8 (Madrigali, libro ottavo) , ""Madrigali guerrieri, et amorosi"": Lamento della...",Roberta Mameli - Topic,471,OK,,2026-09-23T05:28:42+00:00,https://www.youtube.com/watch?v=BNhfMVmRAhk,playable,"Madrigals, Book 8 (Madrigali, libro ottavo) , ""Madrigali guerrieri, et amorosi"": Lamento della...",Roberta Mameli - Topic,471,2026-09-23T05:28:42+00:00,False,,,,
03-16,"Dichterliebe (A Poet’s Love), op. 48",Schumann,https://www.youtube.com/watch?v=8xFU0IJimX4,playable,Dichterliebe Complete   Fritz Wunderlich   Schumann,ümit fiskin,1721,OK,,2026-09-23T05:28:43+00:00,https://www.youtube.com/watch?v=8xFU0IJimX4,playable,Dichterliebe Complete   Fritz Wunderlich   Schumann,ümit fiskin,1721,2026-09-23T05:28:43+00:00,False,,,,
03-17,"""Double"" Concerto for Violin and Cello in A minor, op. 102",Brahms,https://www.youtube.com/watch?v=9WKpSDBvn9w,playable,Brahms Double Concerto : David Oistrakh (violin) & Mstislav Rostropovich (cello) / Complete.,Alexandre Debrus (cellist),2065,OK,,2026-09-23T05:28:44+00:00,https://www.youtube.com/watch?v=9WKpSDBvn9w,playable,Brahms Double Concerto : David Oistrakh (violin) & Mstislav Rostropovich (cello) / Complete.,Alexandre Debrus (cellist),2065,2026-09-23T05:28:44+00:00,False,,,,
03-18,Piano Concerto for the Left Hand in D,Ravel,https://www.youtube.com/watch?v=VoR6KgdDDTA,playable,"Lugansky - Ravel, Piano Concerto in D major, for the Left Hand",Enchanted Wanderer,1092,OK,,2026-09-23T05:28:45+00:00,https://www.youtube.com/watch?v=VoR6KgdDDTA,playable,"Lugansky - Ravel, Piano Concerto in D major, for the Left Hand",Enchanted Wanderer,1092,2026-09-23T05:28:45+00:00,False,,,,
03-19,"Violin Concerto in D minor, op. 47",Sibelius,https://www.youtube.com/watch?v=3u-unvYedx8,playable,"SIBELIUS Violin Concerto in D minor, Op. 47 - Ray Chen",Ray Chen,2048,OK,,2026-09-23T05:28:47+00:00,https://www.youtube.com/watch?v=3u-unvYedx8,playable,"SIBELIUS Violin Concerto in D minor, Op. 47 - Ray Chen",Ray Chen,2048,2026-09-23T05:28:47+00:00,False,,,,
03-20,Parsifal,Wagner,https://www.youtube.com/watch?v=eqOBEH-JRhs,playable,Richard Wagner: Parsifal,Twinsunian T,13952,OK,,2026-09-23T05:28:48+00:00,https://www.youtube.com/watch?v=eqOBEH-JRhs,playable,Richard Wagner: Parsifal,Twinsunian T,13952,2026-09-23T05:28:48+00:00,False,,,,
03-21,"Missa Solemnis in D, op. 123",Beethoven,https://www.youtube.com/watch?v=umXYWd25hgQ,deleted_or_unavailable,,,,ERROR,Video unavailable,2026-09-23T05:28:48+00:00,https://www.youtube.com/watch?v=hnrFUFVcDmc,playable,Beethoven: Missa solemnis ∙ hr-Sinfonieorchester ∙ Wiener Singverein ∙ Andrés Orozco-Estrada,hr-Sinfonieorchester – Frankfurt Radio Symphony,4958,2026-09-23T05:36:01+00:00,True,完整的贝多芬庄严弥撒 Op.123；法兰克福广播交响乐团官方频道。,ERROR: [youtube] umXYWd25hgQ: Video unavailable,yt-dlp: public metadata and audio formats available; no media downloaded,2026-09-23T05:31:38+00:00
03-22,"Symphony #41 in C, K. 551 'Jupiter'",Mozart,https://www.youtube.com/watch?v=bnK3kh8ZEgA,playable,"Mozart - Symphony No. 41 in C, K. 551 [complete] (Jupiter)",Am4d3usM0z4rt,1808,OK,,2026-09-23T05:28:50+00:00,https://www.youtube.com/watch?v=bnK3kh8ZEgA,playable,"Mozart - Symphony No. 41 in C, K. 551 [complete] (Jupiter)",Am4d3usM0z4rt,1808,2026-09-23T05:28:50+00:00,False,,,,
03-23,Requiem,Verdi,https://www.youtube.com/watch?v=Nlq9lJRElBk,playable,Verdi: Messa da Requiem ∙ hr-Sinfonieorchester ∙ MDR Rundfunkchor ∙ Solisten ∙ Andrés Orozco-Estrada,hr-Sinfonieorchester – Frankfurt Radio Symphony,5668,OK,,2026-09-23T05:28:52+00:00,https://www.youtube.com/watch?v=Nlq9lJRElBk,playable,Verdi: Messa da Requiem ∙ hr-Sinfonieorchester ∙ MDR Rundfunkchor ∙ Solisten ∙ Andrés Orozco-Estrada,hr-Sinfonieorchester – Frankfurt Radio Symphony,5668,2026-09-23T05:28:52+00:00,False,,,,
03-24,"Clarinet Sonatas, op. 120",Brahms,https://www.youtube.com/watch?v=7tHkEqGMouM,playable,"Han Kim plays Brahms Clarinet Sonata No. 2 in E-flat Major, Op. 120 with Pianist Ilya Rashkovskiy",Clarinetist Han KIM,1307,OK,,2026-09-23T05:28:53+00:00,https://www.youtube.com/watch?v=7tHkEqGMouM,playable,"Han Kim plays Brahms Clarinet Sonata No. 2 in E-flat Major, Op. 120 with Pianist Ilya Rashkovskiy",Clarinetist Han KIM,1307,2026-09-23T05:28:53+00:00,False,,,,
03-25,"Ein deutsches Requiem, op. 45",Brahms,https://www.youtube.com/watch?v=ZXU9vqVdudM,playable,Brahms: Ein deutsches Requiem ∙ hr-Sinfonieorchester ∙ MDR-Rundfunkchor ∙ Solisten ∙ David Zinman,hr-Sinfonieorchester – Frankfurt Radio Symphony,4649,OK,,2026-09-23T05:28:54+00:00,https://www.youtube.com/watch?v=ZXU9vqVdudM,playable,Brahms: Ein deutsches Requiem ∙ hr-Sinfonieorchester ∙ MDR-Rundfunkchor ∙ Solisten ∙ David Zinman,hr-Sinfonieorchester – Frankfurt Radio Symphony,4649,2026-09-23T05:28:54+00:00,False,,,,
03-26,"Symphony #4 in B-flat, op. 60",Beethoven,https://www.youtube.com/watch?v=V1WqJFilxDg,deleted_or_unavailable,,,,ERROR,Video unavailable,2026-09-23T05:28:55+00:00,https://www.youtube.com/watch?v=uGWklkORHJo,playable,Beethoven: 4. Sinfonie ∙ hr-Sinfonieorchester ∙ Andrés Orozco-Estrada,hr-Sinfonieorchester – Frankfurt Radio Symphony,2167,2026-09-23T05:36:02+00:00,True,完整的贝多芬第四交响曲 Op.60；法兰克福广播交响乐团官方频道。,ERROR: [youtube] V1WqJFilxDg: Video unavailable,yt-dlp: public metadata and audio formats available; no media downloaded,2026-09-23T05:31:43+00:00
03-27,Requiem (Missa pro defunctis),Ockeghem,https://www.youtube.com/watch?v=3Hzd41qeRyo,playable,Ockeghem  Missa pro defunctis,atsusiueno,1685,OK,,2026-09-23T05:28:56+00:00,https://www.youtube.com/watch?v=3Hzd41qeRyo,playable,Ockeghem  Missa pro defunctis,atsusiueno,1685,2026-09-23T05:28:56+00:00,False,,,,
03-28,"Lyric Symphony, op. 18",Zemlinsky,https://www.youtube.com/watch?v=oC2Hkk50ujM,playable,Lyric Symphony op. 18 Alexander von Zemlinsky Alexander Anissimov Conductor Irina Krikunova Soprano,ingaprivet,423,OK,,2026-09-23T05:28:58+00:00,https://www.youtube.com/watch?v=oC2Hkk50ujM,playable,Lyric Symphony op. 18 Alexander von Zemlinsky Alexander Anissimov Conductor Irina Krikunova Soprano,ingaprivet,423,2026-09-23T05:28:58+00:00,False,,,,
03-29,"Piano Sonata #8 in C minor, op. 13 ""Pathetique""",Beethoven,https://www.youtube.com/watch?v=91MTUXla-lE,playable,"Beethoven Piano Sonata ""Pathétique"" No.8 in C minor, Op.13",Traum Piano,1101,OK,,2026-09-23T05:28:59+00:00,https://www.youtube.com/watch?v=91MTUXla-lE,playable,"Beethoven Piano Sonata ""Pathétique"" No.8 in C minor, Op.13",Traum Piano,1101,2026-09-23T05:28:59+00:00,False,,,,
03-30,"Die Schöpfung (The Creation), Hob.XXI/2",Haydn,https://www.youtube.com/watch?v=gwKduvgzZnw,playable,"Haydn: Die Schöpfung (The Creation), Hob. XXI: 2, Pt. 1 - 1. Einleitung: Die Vorstellung des...",Leonard Bernstein - Topic,555,OK,,2026-09-23T05:29:00+00:00,https://www.youtube.com/watch?v=gwKduvgzZnw,playable,"Haydn: Die Schöpfung (The Creation), Hob. XXI: 2, Pt. 1 - 1. Einleitung: Die Vorstellung des...",Leonard Bernstein - Topic,555,2026-09-23T05:29:00+00:00,False,,,,
03-31,"Clarinet Quintet in A, K. 581",Mozart,https://www.youtube.com/watch?v=xTNbclgU3h4,playable,"Mozart | Clarinet quintet K581 in A major - Armida Quartet, Sabine Meyer",Südtirol in concert,1849,OK,,2026-09-23T05:29:01+00:00,https://www.youtube.com/watch?v=xTNbclgU3h4,playable,"Mozart | Clarinet quintet K581 in A major - Armida Quartet, Sabine Meyer",Südtirol in concert,1849,2026-09-23T05:29:01+00:00,False,,,,
04-01,"Piano Concerto #3 in C, op. 26",Prokofiev,https://www.youtube.com/watch?v=II3GoNY4rwc,playable,"Prokofiev Piano Concerto No. 3 in C Major, Op. 26 (Kissin)",Prok Prok,1744,OK,,2026-09-23T05:29:02+00:00,https://www.youtube.com/watch?v=II3GoNY4rwc,playable,"Prokofiev Piano Concerto No. 3 in C Major, Op. 26 (Kissin)",Prok Prok,1744,2026-09-23T05:29:02+00:00,False,,,,
04-02,"String Quartet #5, Sz. 102",Bartók,https://www.youtube.com/watch?v=W2zPA4RuzaM,playable,"Béla Bartók - String Quartet No. 5, Sz. 102",invertedninthchord,1857,OK,,2026-09-23T05:29:03+00:00,https://www.youtube.com/watch?v=W2zPA4RuzaM,playable,"Béla Bartók - String Quartet No. 5, Sz. 102",invertedninthchord,1857,2026-09-23T05:29:03+00:00,False,,,,
04-03,"Wanderer Fantasy in C, D. 760",Schubert,https://www.youtube.com/watch?v=wAnhIV8wzw0,playable,Schubert „Wanderer-Fantasie“ D 760 Alfred Brendel,Sonorum Concentus Haydn & Schubert,1324,OK,,2026-09-23T05:29:05+00:00,https://www.youtube.com/watch?v=wAnhIV8wzw0,playable,Schubert „Wanderer-Fantasie“ D 760 Alfred Brendel,Sonorum Concentus Haydn & Schubert,1324,2026-09-23T05:29:05+00:00,False,,,,
04-04,"Piano Trio #2 in E minor, op. 67",Shostakovich,https://www.youtube.com/watch?v=os4N-dR7CuY,playable,SHOSTAKOVICH Piano Trio No. 2 in E minor (Op. 67) Score,Schwammerl,1595,OK,,2026-09-23T05:29:06+00:00,https://www.youtube.com/watch?v=os4N-dR7CuY,playable,SHOSTAKOVICH Piano Trio No. 2 in E minor (Op. 67) Score,Schwammerl,1595,2026-09-23T05:29:06+00:00,False,,,,
04-05,"Alexander Nevsky, op. 78",Prokofiev,https://www.youtube.com/watch?v=KGqVogrLEE4,playable,"Sergei Prokofiev : Alexander Nevsky, Op.78 (Yuri Temirkanov / St Petersburg Philharmonic Orchestra)",skripachka,2363,OK,,2026-09-23T05:29:07+00:00,https://www.youtube.com/watch?v=KGqVogrLEE4,playable,"Sergei Prokofiev : Alexander Nevsky, Op.78 (Yuri Temirkanov / St Petersburg Philharmonic Orchestra)",skripachka,2363,2026-09-23T05:29:07+00:00,False,,,,
04-06,"Violin Concerto #2 in E, BWV 1042",Bach,https://www.youtube.com/watch?v=DgfyryZJES4,playable,Hilary Hahn plays Bach Violin Concerto No.2 in E Major BWV 1042- Deutsche Kammerphilharmonie Bremen,Bachology,1079,OK,,2026-09-23T05:29:08+00:00,https://www.youtube.com/watch?v=DgfyryZJES4,playable,Hilary Hahn plays Bach Violin Concerto No.2 in E Major BWV 1042- Deutsche Kammerphilharmonie Bremen,Bachology,1079,2026-09-23T05:29:08+00:00,False,,,,
04-07,"Piano Sonata #32 in C minor, op. 111",Beethoven,https://www.youtube.com/watch?v=WGg9cE-ceso,playable,Beethoven: Sonata Op.111 No.32 in C Minor (Uchida),Ashish Xiangyi Kumar,1664,OK,,2026-09-23T05:29:09+00:00,https://www.youtube.com/watch?v=WGg9cE-ceso,playable,Beethoven: Sonata Op.111 No.32 in C Minor (Uchida),Ashish Xiangyi Kumar,1664,2026-09-23T05:29:09+00:00,False,,,,
04-08,Lyric Pieces,Grieg,https://www.youtube.com/watch?v=9PFGpPzu_7s,playable,"Lyric Pieces, Book I, Op. 12: No. 1, Arietta",Håkon Austbö - Topic,91,OK,,2026-09-23T05:29:11+00:00,https://www.youtube.com/watch?v=9PFGpPzu_7s,playable,"Lyric Pieces, Book I, Op. 12: No. 1, Arietta",Håkon Austbö - Topic,91,2026-09-23T05:29:11+00:00,False,,,,
04-09,"String Quintet #4 in G minor, K. 516",Mozart,https://www.youtube.com/watch?v=-RWsgnZZrZQ,playable,"Mozart - String Quintet No. 4 in G minor, K. 516",Anthony Mondon,2072,OK,,2026-09-23T05:29:12+00:00,https://www.youtube.com/watch?v=-RWsgnZZrZQ,playable,"Mozart - String Quintet No. 4 in G minor, K. 516",Anthony Mondon,2072,2026-09-23T05:29:12+00:00,False,,,,
04-10,"Music for Strings, Percussion, and Celesta, Sz. 106",Bartók,https://www.youtube.com/watch?v=QElT9KD4uX8,playable,"Béla Bartók - Music for Strings, Percussion and Celesta, Sz. 106",invertedninthchord,1680,OK,,2026-09-23T05:29:13+00:00,https://www.youtube.com/watch?v=QElT9KD4uX8,playable,"Béla Bartók - Music for Strings, Percussion and Celesta, Sz. 106",invertedninthchord,1680,2026-09-23T05:29:13+00:00,False,,,,
04-11,Ma mère l'oye,Ravel,https://www.youtube.com/watch?v=N_ENSdLOblk,playable,Ravel: Ma mère l’Oye ∙ hr-Sinfonieorchester ∙ Julian Kuerti,hr-Sinfonieorchester – Frankfurt Radio Symphony,1202,OK,,2026-09-23T05:29:14+00:00,https://www.youtube.com/watch?v=N_ENSdLOblk,playable,Ravel: Ma mère l’Oye ∙ hr-Sinfonieorchester ∙ Julian Kuerti,hr-Sinfonieorchester – Frankfurt Radio Symphony,1202,2026-09-23T05:29:14+00:00,False,,,,
04-12,Tabula Rasa,Pärt,https://www.youtube.com/watch?v=7YqF69HLkj8,playable,Arvo Pärt - Tabula rasa,Felipe Diaz,4558,OK,,2026-09-23T05:29:16+00:00,https://www.youtube.com/watch?v=7YqF69HLkj8,playable,Arvo Pärt - Tabula rasa,Felipe Diaz,4558,2026-09-23T05:29:16+00:00,False,,,,
04-13,"Symphony #1 in D, op. 25 ""Classical""",Prokofiev,https://www.youtube.com/watch?v=5OpDwZN8kl4,playable,"S. Prokofiev Symphony No.1 in D major Classical Op.25, Karel Ančerl",HarpsichordA6,764,OK,,2026-09-23T05:29:17+00:00,https://www.youtube.com/watch?v=5OpDwZN8kl4,playable,"S. Prokofiev Symphony No.1 in D major Classical Op.25, Karel Ančerl",HarpsichordA6,764,2026-09-23T05:29:17+00:00,False,,,,
04-14,"Water Music, HWV 348-350",Handel,https://www.youtube.com/watch?v=je_SW1KdFwI,playable,Handel Water Music Suite Jordi Savall I II & III HWV 348 HWV 349 HWV 350,Felices Cantus Händel,2757,OK,,2026-09-23T05:29:18+00:00,https://www.youtube.com/watch?v=je_SW1KdFwI,playable,Handel Water Music Suite Jordi Savall I II & III HWV 348 HWV 349 HWV 350,Felices Cantus Händel,2757,2026-09-23T05:29:18+00:00,False,,,,
04-15,"String Quartet #3, Sz. 85",Bartók,https://www.youtube.com/watch?v=Knd04_iYTGc,playable,"Béla Bartók - String Quartet No. 3, Sz. 85",invertedninthchord,922,OK,,2026-09-23T05:29:19+00:00,https://www.youtube.com/watch?v=Knd04_iYTGc,playable,"Béla Bartók - String Quartet No. 3, Sz. 85",invertedninthchord,922,2026-09-23T05:29:19+00:00,False,,,,
04-16,"Violin Concerto, op. 14",Barber,https://www.youtube.com/watch?v=uM0NIQB3ZHU,playable,Barber - Violinkonzert | Augustin Hadelich | Krzysztof Urbański | WDR Sinfonieorchester,ARD Klassik,1508,OK,,2026-09-23T05:29:20+00:00,https://www.youtube.com/watch?v=uM0NIQB3ZHU,playable,Barber - Violinkonzert | Augustin Hadelich | Krzysztof Urbański | WDR Sinfonieorchester,ARD Klassik,1508,2026-09-23T05:29:20+00:00,False,,,,
04-17,Rhapsody in Blue,Gershwin,https://www.youtube.com/watch?v=cH2PH0auTUU,playable,"George Gershwin - Rhapsody in Blue - Leonard Bernstein, New York Philharmonic (1976)",Qiyu Liu,1023,OK,,2026-09-23T05:29:22+00:00,https://www.youtube.com/watch?v=cH2PH0auTUU,playable,"George Gershwin - Rhapsody in Blue - Leonard Bernstein, New York Philharmonic (1976)",Qiyu Liu,1023,2026-09-23T05:29:22+00:00,False,,,,
04-18,"Fantasie in C, op. 17",Schumann,https://www.youtube.com/watch?v=XZ7hE4lQAYs,playable,"Schumann: Fantasie in C, Op.17 (Andsnes)",Ashish Xiangyi Kumar,1774,OK,,2026-09-23T05:29:23+00:00,https://www.youtube.com/watch?v=XZ7hE4lQAYs,playable,"Schumann: Fantasie in C, Op.17 (Andsnes)",Ashish Xiangyi Kumar,1774,2026-09-23T05:29:23+00:00,False,,,,
04-19,"Violin Concerto #2 in G minor, op. 63",Prokofiev,https://www.youtube.com/watch?v=uuXKaRFFJIc,playable,"Prokofiev Violin Concerto No. 2 in g minor, Op. 63 (Josefowicz)",Prok Prok,1699,OK,,2026-09-23T05:29:24+00:00,https://www.youtube.com/watch?v=uuXKaRFFJIc,playable,"Prokofiev Violin Concerto No. 2 in g minor, Op. 63 (Josefowicz)",Prok Prok,1699,2026-09-23T05:29:24+00:00,False,,,,
04-20,An American in Paris,Gershwin,https://www.youtube.com/watch?v=K4I2OzMltM4,playable,Gershwin: An American in Paris ∙ hr-Sinfonieorchester ∙ Andrés Orozco-Estrada,hr-Sinfonieorchester – Frankfurt Radio Symphony,1378,OK,,2026-09-23T05:29:25+00:00,https://www.youtube.com/watch?v=K4I2OzMltM4,playable,Gershwin: An American in Paris ∙ hr-Sinfonieorchester ∙ Andrés Orozco-Estrada,hr-Sinfonieorchester – Frankfurt Radio Symphony,1378,2026-09-23T05:29:25+00:00,False,,,,
04-21,"A Midsummer Night's Dream, op. 61; including the Overture, op. 21",Mendelssohn,https://www.youtube.com/watch?v=wIcImOYivDA,playable,"Mendelssohn - A Midsummer Night's Dream Overture, Op. 21 (Kurt Masur, Gewandhausorchestra)",EuroArtsChannel,808,OK,,2026-09-23T05:29:26+00:00,https://www.youtube.com/watch?v=wIcImOYivDA,playable,"Mendelssohn - A Midsummer Night's Dream Overture, Op. 21 (Kurt Masur, Gewandhausorchestra)",EuroArtsChannel,808,2026-09-23T05:29:26+00:00,False,,,,
04-22,Symphony #4,Ives,https://www.youtube.com/watch?v=aMT_EGXQwyk,playable,"Charles Ives Symphony No. 4, BBC Symphony Orchestra/David Robertson, cond./Ralph van Raat, piano",Ralph van Raat,2073,OK,,2026-09-23T05:29:27+00:00,https://www.youtube.com/watch?v=aMT_EGXQwyk,playable,"Charles Ives Symphony No. 4, BBC Symphony Orchestra/David Robertson, cond./Ralph van Raat, piano",Ralph van Raat,2073,2026-09-23T05:29:27+00:00,False,,,,
04-23,"Symphony #3 in E-flat, op. 55 'Eroica'",Beethoven,https://www.youtube.com/watch?v=nbGV-MVfgec,playable,Beethoven - Symphony No. 3 in E flat major (Op. 55) Eroica Berliner Philharmoniker,ClassicalMusicTVHD,3078,OK,,2026-09-23T05:29:29+00:00,https://www.youtube.com/watch?v=nbGV-MVfgec,playable,Beethoven - Symphony No. 3 in E flat major (Op. 55) Eroica Berliner Philharmoniker,ClassicalMusicTVHD,3078,2026-09-23T05:29:29+00:00,False,,,,
04-24,Tristan und Isolde,Wagner,https://www.youtube.com/watch?v=5NvUyCdKAxM,playable,Wagner: Tristan und Isolde – Vorspiel und Liebestod ∙ hr-Sinfonieorchester ∙ Andrés Orozco-Estrada,hr-Sinfonieorchester – Frankfurt Radio Symphony,1257,OK,,2026-09-23T05:29:30+00:00,https://www.youtube.com/watch?v=5NvUyCdKAxM,playable,Wagner: Tristan und Isolde – Vorspiel und Liebestod ∙ hr-Sinfonieorchester ∙ Andrés Orozco-Estrada,hr-Sinfonieorchester – Frankfurt Radio Symphony,1257,2026-09-23T05:29:30+00:00,False,,,,
04-25,"Symphony #3 in E-flat, op. 97 ""Rhenish""",Schumann,https://www.youtube.com/watch?v=kYW12JpWvkc,playable,"Robert Schumann: Symphony No. 3 in E-flat major ""Rhenish"", op. 97 (1850)",Mateus Pereira,2017,OK,,2026-09-23T05:29:31+00:00,https://www.youtube.com/watch?v=kYW12JpWvkc,playable,"Robert Schumann: Symphony No. 3 in E-flat major ""Rhenish"", op. 97 (1850)",Mateus Pereira,2017,2026-09-23T05:29:31+00:00,False,,,,
